title|link|date|elle_link|contents|category|title_name|check
유행은 돌아오는 거야! #어그슈즈|http://v.media.daum.net/v/20201130070033142|2020.11.30|http://v.media.daum.net/v/20201130070033142?f=o|"[[], ['', '출산 후 아이와 함께 산책하는 모습을 깜짝 공개한 지지 하디드. 아기띠를 둘렀지만 편안하고 스타일리시한 룩을 포기하지 않았어요. 위아래 한 벌로 맞춰 입은 하늘색 트레이닝 수트 위에 루스한 롱 카디건을 걸치고 비니를 써 멋스럽게 연출했죠. 여기에 울 삭스와 투박한 어그 부츠로 보온성에 신경 쓴 느낌 있는 산책 룩이 인상적입니다.', '', ""로제가 ‘꾸안꾸' 데일리 룩으로 고른 슈즈는어그 슬리퍼입니다. 발등을 넓게 덮은 시어링 디테일이 귀여운 인상을 풍기는데요, 그녀는 블랙, 네이비처럼 톤 다운된 룩과 매치하고 슈즈의 컬러와 비슷한 크로스보디 백을 짧게 메 포인트 있는 아웃 핏을 즐겼습니다."", '', '멋진 일몰 풍경을 감상하기 위해 자연으로 떠난 김용지는 추운 날씨를 대비해 든든하게 옷을 챙겨 입었습니다. 도톰한 트레이 닝 팬츠 위에 후디와 경량 패딩, 울 점퍼까지 여러 겹을 레이어드하고 귀를 덮는 트래퍼햇으로 마무리했죠. 여기에 바지와 같 은 컬러의 어그 부츠를 신어 머리부터 발끝까지 완벽하게 무장했어요.', '', '캠핑지에서 신을 슈즈를 찾고 있다면 ‘갬성’ 캠핑을 떠난 솔라의어그 슬리퍼를 눈여겨보세요. 튼튼한 러버솔을 장착해 자갈이 많은 지형에서도 활용 만점! 코지한 트레이닝 룩과도 잘 어울릴 뿐만 아니라 귀여움은 덤!', '', '핫 핑크 컬러의 어그 부츠를 신고 모델 포스를 발산하는 조안 스몰스. 아찔한 킬힐은 아니지만, 강렬한 컬러 덕분에 에지있어 보입니다. 슈즈와비슷한 색깔로 맞춤 한 캐미솔에 보색인 라임 컬러의 오버사이즈 셔츠를 걸쳐 화려한 컬러 매치를 선보였어요.', '', '어그 부츠를 힙하게 소화하고 싶다면 허영지의 룩을 참고해보세요. 흔한 데님 팬츠보다는 트레이닝 팬츠에 매치하는 것이 훨씬 쿨해 보일 수 있어요. 꾸미지 않은 듯 위아래 세트로 트레이닝 룩을 맞춰 입는다면 금상첨화! 볼륨감 있는 쇼트 패딩 점퍼 나 플리스 점퍼처럼 짧은 아우터를 더하면 활동적인 이미지를 드러낼 수 있답니다.']]"|FASHION|0|0
'베레모'하나면 드레스업 끝!|http://v.media.daum.net/v/20201105081235498|2020.11.05|http://v.media.daum.net/v/20201105081235498?f=o|[[], ['', '이번 시즌 트렌드 중 하나인 스쿨룩을 완벽하게 소화하고 싶다면 조이의 스타일을 참고해보세요. 니삭스와 로퍼, 그리고 화룡점정 베레까지. 단정한 이미지를 주는 액세서리 선택에 신경 쓴다면 100점 만점의 스쿨룩이 완성됩니다.', '', '캐멀 컬러의 트렌치코트로 가을 무드를 한껏 끌어올린 박민영. 굵은 웨이브 헤어에 더한 베레가 레트로 무드를 증폭시킵니다.', '', '핑크 컬러의 타탄체크 카디건에 베레를 살짝 얹어 쓴 이현이의 러블리한 모먼트를 공개합니다. 클래식한 체크 패턴과 분위기있는 베레가 근사하게 잘 어울리죠?', '', '로제에게 배우는 베레 쓰는 꿀팁! 헤어를 모두 뒤로 넘겨 이마를 온전히 드러내기 보다는 한쪽 옆머리로 관자놀이를 살짝 덮어준 뒤 베레를 쓰면 광대와 턱선을 절묘하게 감춰 얼굴이 훨씬 작아 보일 수 있어요.', '', '프렌치 감성이 느껴지는 컬러플한 베레로 가을 룩에 분위기를 더해보는 건 어떨까요? 여유 있는 실루엣의 카디건과 데님 팬츠로 구성한 편안한 룩에 레드 컬러의 베레로 포인트를 준 심소영의OOTD를 참고해보세요.', '', '해맑은 미소의 소유자 러블리즈 효정의 사랑스러움을 배가시키는 베레 스타일. 머리를 귀 뒤로 깔끔하게 넘기고 헤어 라인과 베레의 위치를 맞춰주세요. 이렇게 얼굴을 드러낸 뒤 베레를 살짝 뒤로 눌러쓰면 귀여운 느낌을 연출할 수 있어요.']]|FASHION|0|0
로제처럼 귀엽게? 사랑스러운 핑크 헤어|http://v.media.daum.net/v/20201024014529256|2020.10.24|http://v.media.daum.net/v/20201024014529256?f=o|[[], ['', '블랙 핑크 로제는 색이 살짝 빠진 핑크빛 헤어를 양 갈래로 묶어 귀여움을 발산하고 있어요. 여기서 앞머리 두 가닥을 빼내 더듬이 같은 포인트를 주는 것도 잊지 않았죠. 헤어 컬러와 어울리도록 연한 갈색으로 눈썹을 탈색하고 블러셔와 립 컬러를 은은한 핑크색으로 맞추어 러블리한 뷰티 룩을 완성했습니다.', '', '카이아 거버는 사회적 거리 두기를 하며 집에서 셀프로 헤어 스타일에 변화를 주었어요. 헤어 스타일리스트 귀도 팔라우와 영상 통화로 조언을 얻으며 원하는 핑크 헤어로 변신하는 데에 성공했죠. 그녀 같은 헤어 컬러에 도전하고 싶다면 먼저 헤어 끝만 탈색해주세요. 귀 라인을 중심으로 브라운 헤어와 핑크 컬러가 자연스럽게 그러데이션 되도록 염색하면 꽤 괜찮은 결과물이 나올 수 있을 거예요.', '', '모델 로티 모스는 바비 인형 같은 독보적인 비주얼을 선보였어요. 헤어 뿌리부터 빈틈없이 연한 핑크색으로 염색한 헤어 스타일이 우선 눈길을 사로잡습니다. 광택이 흐르는 머릿결을 강조하고 전체적으로 핑크 컬러를 사용한 메이크업을 시도한 그녀의 비현실적인 아름다움을 감상해보세요.', '', '여러 번의 탈색을 거쳐야 하는 밝은 핑크 헤어가 망설여진다면 모델 에바 필립처럼 진한 핑크에 도전해보세요. 머리끝으로 갈수록 자줏빛으로 진해지는 헤어 컬러가 오묘한 분위기를 연출합니다. 여기에 붉은 기가 도는 블러셔와 아이섀도로 이목구비를 강조한 그녀의 독특한 뷰티 팁을 기억하시길.', '', '몸에 딱 붙는 보디수트를 입어 미래적인 여전사 룩을 선보인 니키 미나즈는 엉덩이까지 닿는 긴 생머리를 핑크색으로 염색해 개성을 뽐냈어요. 부분부분 밝은 금색으로 블리치 포인트를 주어, 마치 헤어밴드를 한 듯 연출한 점이 특이하네요.']]|BEAUTY|1|0
여름과 가을 사이, 니트 베스트|http://v.media.daum.net/v/20200904070034505|2020.09.04|http://v.media.daum.net/v/20200904070034505?f=o|"[['', '', '', '', '', '', '', '', ""예쁜 가을 ‘신상'들이 우리의 선택을 기다리고 있지만, 여전히 더운 날씨 때문에 두 툼한 스웨터와 묵직한 아우터를 선택하기엔 아직 조금 겁이 난다면 주목하세요. 트렌드를 앞서가려면 언제까지나 서머 스타일을 고수할 수는 없는 법. 데일리 룩에 계절감을 더할 수 있는 니트 베스트를 활용해보는 건 어떨까요? 반팔 티셔츠나 얇은 셔츠 위에 레이어드하기만 하면 멋스러운 데일리룩 완성 가능!""], ['', '', '', '', '로제나 유빈이 선택한 브이넥 베스트는 올가을 트렌드 중 하나인 프레피 룩으로도 활용 만점입니다. 밋밋한 데일리 룩에 포인트를 주고 싶다면 에밀리 신들레브처럼 비비드한 컬러의 니트 베스트를 추천합니다. F/W 시즌 내내 입을 수 있는 두툼한 울 베스트라면 알렉사 청처럼 단독으로 매치해도 좋겠네요. 본격적인 가을 쇼핑을 준비하고 있다면 니트 베스트를 잊지 마세요.', '', '여유로운 사이즈의 크림 컬러 베스트는 33만5천원, System.', '', '빈티지한 노르딕 패턴이 돋보이는 니트 베스트는 48만원, Acne Studios by Farfetch.com.', '', '볼드한 짜임 패턴의 크롭트 니트 베스트는 4만9천원, Zara.', '', '모던함이 느껴지는 투 톤 베스트는 20만원대, Eenk.', '', '할머니 옷장에서 꺼낸듯한 알록달록한 니트 베스트는 36만5천원, Tom Greyhound.', '', '각각 다른 모양의 단추로 포인트를 준 니트 베스트는 43만2천원, Pushbutton.', '', '플라워 아플리케로 러블리함을 더한 베스트는 19만9천원, Thursday Island.']]"|FASHION|0|0
로제만이 존재한 몰입의 순간|http://v.media.daum.net/v/20200831160239633|2020.08.31|http://v.media.daum.net/v/20200831160239633?f=o|[['', '', ''], ['안토니 바카렐로의 생 로랑 캠페인 ysl32 주인공 로제. 어떤 색도 자신만의 것으로 흡수해 버리는 로제에게 컬러는 블랙 하나로 충분하다. 채도와 명도 그리고 로제만이 존재하던 몰입의 순간. 그 첫 번째 영상이 펼쳐집니다.', 'Retro and modern at the same time, the newly launched Saint Laurent bag, the Solferino, is proposed in a timeless choice of materials and colors. Discover the bag in the video featuring Rosé.']]|FASHION|1|0
리사부터 선미까지 스타들의 블랙 홀릭|http://v.media.daum.net/v/20200830070031566|2020.08.30|http://v.media.daum.net/v/20200830070031566?f=o|[[], ['', '주름 장식과 상반된 소재 매치, 독특한 커팅 등 볼거리가 풍성한 블랙 룩을 선보인 리사. 트렌디한 청키 체인 네크리스와 스퀘어 토 부츠까지 더한 빈틈없는 연출이 눈에 띕니다.', '', '치명미 한도 초과! 한예슬은 과감하게 파인 네크 라인과 파워 숄더를 장착한 마이크로 미니드레스를 선택했어요. 길게 늘어뜨린 스트레이트 뱅 헤어도 관능적인 분위기에 잘 어울립니다.', '', '평범한 아이템도 블랙으로 통일하면 색다른 분위기를 연출합니다. 기분 좋은 레터링 티셔츠와 블랙 팬츠, 컨버스 슈즈로꾸안꾸 데일리 룩의 정석을 보여준 슬기처럼 말이에요.', '', '목선과 어깨, 허리와 허벅지 등 스킨을 적당히 드러낸 스타일을 선보인 로제. 이번 시즌 ‘핫’ 아이템인 롱 글러브와 체인 네크리스까지 섭렵했어요.', '', '컴뱃 부츠는 선미의 시그너처 아이템이죠. 그는 스터드 장식의 원피스와 투박한 부츠, 인더스트리얼 요소를 더한 백으로 락시크 분위기 완성했어요.', '', '블랙 컬러를 페미닌하게 소화하고 싶다면 단순한 캐미솔과 넓게 퍼지는 튤 스커트로 발레리나 같은 블랙 룩을 선보인 황승언의 스타일을 참고하세요. 와이드 벨트나 컴뱃 부츠를 믹스매치해 현실감 있게 소화했어요.', '', '퍼프 숄더의 크롭트 블라우스와 잘록한 허리 라인을 연출할 수 있는 벨티드 하이웨이스트 팬츠로 실루엣의 미학을 보여준 효민. 미니멀한 디자인의 핸드백으로 통일감 있게 마무리했어요.']]|STAR|0|0
아이스크림 칠링칠링, 블랙핑크와 셀레나 고메즈의 (스압주의)|http://v.media.daum.net/v/20200828185828416|2020.08.28|http://v.media.daum.net/v/20200828185828416?f=o|[['', '', ''], ['', '드디어 베일을 벗은 블랙핑크와 셀레나 고메즈의 컬래버레이션, 새로운 싱글 〈Ice Cream〉!', '이들의 모습에 심쿵하지 않을 수 없죠! 핑크의 해답은 이들에게 있었습니다. 제니, 로제, 리사, 지수 그리고 셀레나 고메즈는 온통 핑크빛으로 채워진 뮤직비디오를 선보였어요.', '블랙핑크와 셀레나 고메즈의 만남은 여성 아티스트의 역대급 컬래버레이션으로 꼽힙니다. 유튜브 채널 구독자 수만으로도 전 세계 여성 아티스트 1위인 블랙핑크와 인스타그램 팔로워 수만 약 1억8700만명에 달하는 셀레나 고메즈의 만남은 그 자체로 막강한 파급력을 자랑하거든요.', '', '‘겉으로는 차가워 보이지만 알고 보면 달콤하다’는 의미를 아이스크림에 비유, 톡톡 튀는 멜로디로 풀어냈어요. 또, 청량한 댄스 팝의 〈Ice Cream〉은 글로벌 음악 시장을 정통으로 돌파했습니다. 미국 동부 기준으로 8월 28일 0시, 한국 시각으로는 같은 날 오후 1시 공개했고, 5시간 만에 조회수 26,883,450회를 기록했죠. 중독성 짙은 쉬운 가사와 영어와 한국어가 절묘하게 섞여 벌써 아이튠스, 스포티파이 글로벌 Top 50, 미국 빌보드 Top 100등 각종 차트를 휩쓸며 고공행진 중!', '더불어, 온통 핑크투성이의 보는 맛 가득한 스타일링! 특히 핑크와 옐로, 블루, 반짝이는 글리터가 올라간 아이 메이크업 스타일링이 눈에 띕니다.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '오는 10월 2일, 데뷔 4년 만의 첫 정규 앨범 발매를 일찌감치 예고한 블랙핑크! 얼마나 멋진 모습일지 벌써 기대되는군요.', '']]|STAR|0|0
제니, 걸그룹 브랜드 평판 1위 등극|http://v.media.daum.net/v/20200720215427204|2020.07.20|http://v.media.daum.net/v/20200720215427204?f=o|"[['', '', '', '', '‘How You Like That’으로 20년 6월 26일 컴백해 국내외 음원 차트와 유튜브 뷰, 음악 방송 9관왕 등 신기록을 갈아치우고 있는 블랙핑크. 압도적인 인기로 지금은 블랙핑크 시대라 명명해도 과언이 아닙니다. 이를 증명하듯 ‘한국 기업 평판 연구소’에서 내놓은 7월의 걸그룹 개인 브랜드 평판 랭킹에서 1위부터 3위까지 모두 블랙핑크 멤버가 차지했습니다. 1위 제니, 2위 리사, 3위 지수이고, 〈엘르〉 7월호의 뮤즈 로제는 6위에 랭크됐어요. 그들의 영향력이 얼마나 강력한지 새삼 느낄 수 있는 뉴스입니다.', '', '', '', '', '', ''], ['', '', '파격적인 헤어스타일과 세련된 영상미로 ‘How You Like That’ 뮤직비디오는 공개된 지 일주일 만에 2억 뷰를 달성했죠. 현재는 3억 뷰를 달성해 꾸준히 기록을 경신하고 있습니다.', '음원 활동뿐만 아니라 유튜브에서도 유쾌한 콘텐츠로 다양한 모습을 보여주기 시작한 블랙핑크 멤버들. 뮤직비디오 촬영 현장부터 춤 연습, 쇼핑, 공방 체험 등 바쁜 멤버들의 일상을 만날 수 있어 팬들의 뜨거운 반응을 얻고 있습니다. 춤이면 춤, 노래면 노래, 예능이면 예능까지 어느 하나 빠지지 않는 만능 엔터테이너 블랙핑크. 앞으로의 행보가 더욱 기대됩니다!', '‘블랙핑크’ 관련 기사 더 보기', '〉 블랙핑크가 쓰는 K-pop의 새 역사', '〉 로제, 우먼 인 블랙', '〉 블랙핑크 리사의 하루하루', ""〉 블랙핑크 지수의 '드림 워커'""]]"|STAR|0|0
눈을 마주치지 않고 잔을 부딪치면 생기는 일_프랑스 여자처럼 #9|http://v.media.daum.net/v/20200714113240387|2020.07.14|http://v.media.daum.net/v/20200714113240387?f=o|"[[], ['날이 갈수록 더워지니 한낮에도 시원한 한 잔이 생각난다. 시원한 한 잔은 물도 탄산음료도 차도 아닌 알코올. 그중에서도 바캉스 와인이라 부르는 로제 와인과 샴페인이 자주 고프다. 물론 프랑스에서 점심을 먹을 때, 메뉴에 따라 골라 한잔 기울이던 적당한 온도로 칠링 된 화이트 와인도.', '', ""프랑스 사람들은 알코올로 채운 잔을 들고, 건배할 때 '쌍떼(Santé!: 본래는 아 보트흐쌍떼 A Votre Santé! 당신의 건강을 위하여!이며, 줄여서 쌍떼라고 한다)'라고 외친다. 한국인들의 ‘짠’ ‘위하여’ 같은 의미다. 그것도 잔을 부딪치는 사람들 한 명 한 명과 눈을 마주치며. 건성으로 서로의 건강을 비는 법이 없이, 소소한 관습 하나에도 마음을 다하라는 경고처럼 말이다."", '건배는 건강과 행운을 비는 긍정적인 행동인데, 실제 프랑스인은 건배 예의를 지키지 않으면 어떤 저주가 닥친다는 부정적인 미신을 갖고 있다. 과한 벌칙일 수도 있겠다. 뭐, 다음과 같은 2가지 저주를 감당할 수 있다면 눈을 마주치지 않아도 된다.', '첫 번째, ‘눈을 마주치지 않고, 잔을 부딪치며 쌍떼를 외치면 그 사람은 그해 안에 꼭 결혼해야 한다’는 미신. (얼마 전, 프랑스 여자에게 들은 미신 중 하나)', '', '그리고 예전부터 들었던 두 번째 믿음은 바로 이거다.', ""건배할 때 눈을 마주치지 않는다면 7년 동안 '나쁜 섹스'를 겪게 된다는 것. 하아, 무려 7년이다. 7년. 이는 독일과 영국에서도 찾아볼 수 있는 믿음이다. (스페인의 많은 사람은 물 잔으로 건배하는 사람에게 같은 저주가 닥칠 것이라고 믿는다고 한다.)"", '뭐, 그만큼이나 눈을 마주치면서 진심 어린 마음으로 서로의 건강을 비는 건배를 소홀히 하지 말라는 뜻이 아닐까?', '무섭다. Bad sex. 형편없는 섹스. 그것도 7년이라니...! 한낮의 한 잔이 고파 친한 친구와 가볍게 와인 한잔을 기울일 때도 (프랑스가 아니고, 프랑스인이 아니더라도) 위의 저주를 두려워하며 아주 잠깐이나마 눈을 마주치고 서로의 건강을 빌어보자. 그 고운 마음이 장마 끝 어마어마한 더위에 들어설 여름 속 당신의 건강에 도움이 될지도 모를 일이니까.', '', ""* 프렌치 패션, 리빙, 음악, 미술, 책……. 지극히 프랑스적인 삶! 김모아의 '프랑스 여자처럼'은 매주 화요일 업데이트 됩니다.""]]"||0|0
스타들이 픽한 여름 헤어 스타일링! 상큼 발랄 포니테일|http://v.media.daum.net/v/20200707071031926|2020.07.07|http://v.media.daum.net/v/20200707071031926?f=o|[[], ['', '더운 여름에는 긴 머리를 높이 올려 묶는 포니테일로 보는 사람까지 시원한 헤어스타일을 연출해보세요. 빗으로 빗어 깔끔하게 묶기보다는 수지처럼 거친 텍스처를 살려 대충 묶어주면 이것이 진정한 ‘꾸안꾸’', '', '평범한 포니테일에 요즘 핫한 90년대 무드를 담아볼까요? 조이처럼 정수리 위로 한껏 끌어올려 묶어준 뒤 큼지막한 곱창 밴드로 포인트를 주는 거죠. 스크런치의 사이즈와 컬러는 그날의 룩에 따라 자유롭게 정해도 좋아요.', '', '크롭트 톱과 미니스커트, 두툼한 레그워머까지 합세하니 90년대의 우상, S.E.S.가 돌아온 것만 같네요. 그때도 지금도 통하는 포니테일 스타일은 이마가 강조되기 마련이죠. 이마에 콤플렉스가 있다면 로제의 스타일을 눈여겨보세요. 헤어 라인을 따라 앞머리를 길게 늘어뜨리면 얼굴이 한결 작고 갸름하게 보여요.', '', '해변에서 굴욕적인 물미역 헤어를 피하려면 포니테일은 필수입니다. 선미처럼 정수리에 가깝도록 단단하게 묶어주고 헤어 라인을 따라 잔머리를 살짝 내려주면 훨씬 발랄해 보일 거예요. 복고적인 원피스 수영복과도 잘 어울리죠?', '', '페이스 라인을 적나라하게 드러낸 포니테일이 부담스럽다면 나은처럼 가벼운 시스루 뱅으로 보완할 수 있어요. 이때 리본이나 스크런치를 추가하면 훨씬 러블리하게 연출할 수 있죠. 귀 옆으로 자연스럽게 잔머리를 빼주면 청순한 이미지 완성!']]|STAR|0|0
